year,meeting_number,speaker,speech,party
2015,92,Henning Hyllested (EL),"Det var lige for at rette den misforståelse, som hr. Rasmus Jarlov gjorde sig skyldig i, da han sagde, at det her forslag var sådan et drilleforslag over for Socialdemokraterne. Det er klart, at når vi har været hårde ved Socialdemokraterne i dag, er det selvfølgelig, fordi vi anser dem for at være en allieret i kampen mod social dumping, og her synes vi simpelt hen at de svigter. Så det er sådan set ikke et drilleforslag. Jeg havde ikke i min vildeste fantasi forestillet mig, at Socialdemokraterne kunne finde på at stemme imod det her eller ikke gå med på det, men lad nu det være. Jeg kan forstå på ordføreren, at der ligesom skal være plads til Uber, men at der samtidig skal stilles de samme krav til hele branchen. Det betyder vel alt andet lige, hvis man skal tage Ubers forretningsmodel alvorligt, at der skal slækkes på kravene, og at det så vil være De Konservatives indspil til forhandlingerne om den nye taxalovgivning. Tredje næstformand",EL
2009,105,Marlene Harpsøe (DF),"Til hr. Ole Vagn Christensen vil jeg først sige, at man ikke nødvendigvis er ledighedstruet, hvis man er ufaglært. Det er man jo ikke nødvendigvis. Det kan man være, det er der ikke nogen tvivl om. Det er da også min klare opfattelse, at hvis man som virksomhed kan vælge mellem en ufaglært og faglært, vil man helst vælge den faglærte, som netop har de kompetencer, som man måtte efterspørge. Jeg forstod det sådan, at det handlede om, om man kunne overleve på en SU, altså ikke en SVU, men en SU, hvis man tog nogle gymnasiefag eller lignende. Det tror jeg faktisk godt at man kan, og det er der rigtig, rigtig mange unge mennesker over hele landet der gør hver dag. Hvis man er enlig mor, kan man også få forsørgertillæg. Man har mulighed for at arbejde ved siden af sine studier. Så det er der rigtig mange der allerede gør i dag, og jeg synes i hvert fald, at man skal passe på med at tale ned til de studerende, som i dag faktisk lever på en SU. Fjerde næstformand",DF
2021,109,Christina Thorholm (RV),"Ordføreren nævner et trist eksempel på forståelsen af ydelser i hjemmeplejen, altså at man f.eks. ikke kan yde smøring af benene, når den ældre borger ønsker det. Det mener jeg ikke. Det er en fortolkning, det er en kultur ude i hjemmeplejen, som ikke kan forklares i den lovgivning. Den hjemmepleje kunne have ydet det uden nogen problemer, og det fører lidt til den konklusion, som jeg hører ordføreren taler ind i, altså at vi har det her minutsystem, fordi vi har private og offentlige leverandører. Sådan behøver vi jo ikke at se på det. Altså, vi har en 85indsats, hvor vi ikke definerer det ned i minutter, men hvor vi vurderer, at den leverandør, der får opgaven, har fået beskrevet en indsats og nogle mål, som leverandøren skal levere. Det samme perspektiv mener jeg faktisk ligger som en mulighed i den lovgivning, vi har på nuværende tidspunkt, men det er også en tolkning og den stramhed, der ligger i forståelsen af kulturen. Fjerde næstformand",RV
2006,71,Kim Andersen (V),"Jeg anerkender sådan set Det Radikale Venstres syn på spørgsmålet om at hæve afgiften på benzin og diesel, men vi skal jo passe lidt på med hykleriet. Kan den radikale ordfører bekræfte over for mig, at i forbindelse med et forslag om en skatteomlægning og finanslovforslaget i 2004 stillede Det Radikale Venstre forslag om at hæve afgiften på benzin og diesel med 1 kr. pr. liter? (Kort bemærkning).",V
2003,40,Statsministeren (Anders Fogh Rasmussen),"Jeg har ikke noget kendskab til den konkrete sag, jeg ønsker ikke at kommentere den konkrete sag, og jeg kan i det hele henholde mig til det, jeg allerede har svaret. Ånden næstformand",V
2004,13,Forhandling Jens Kirk (V),"Da Venstres ordfører, fru IngeLene Ebdrup, ikke kan være til stede/ skal jeg på hendes vegne fremføre Venstres synspunkter. Jeg vil gerne i den forbindelse sige, at skulle der være spidsfindige spørgsmål til det her fremførte, mener jeg, at man skal henvende sig til socialministeren ef-' terfølgende. 홢 Dette lovforslag indeholder en række mindre ændringer, som alle er en følge af kommunalreformen. Det drejer sig om etablering og drift af almene ældreboliger, hvor det som en naturlig konsekvens af amternes nedlæggelse fremover alene ' er kommunerne, der træffer beslutning om etablering af ældreboliger til personer med betydelig og varigt nedsat fysisk og psykisk ftuiktionsevne. Dog bliver det fremover sådan, at en kommune frit kan lade de nye regioner stå for etableringen, hvis kommunen ønsker det. Lovforslaget indeholder også de nærmere regler om finansiering af boligerne, kommuner og region imellem, og om kommunernes overtagelse af de allerede eksisterende amtslige almene ældreboliger. Fremover bliver det ligeledes sådan, at det alene er kommunerne, der kan anvise de almene 996 (L 40) ældreboliger, dog således at i de tilfælde, hvor det er en region, der står for driften af nogle almene ældreboliger, vil regionen få mulighed for at prioritere anviste personer og mulighed for at afvise en person, som ikke passer ind i målgruppen i den pågældende bebyggelse. I forhold til ældreboliger overføres tilsynsforpligtelsen til kommunerne. I forhold til boligforliget fra 2002, der bl.a. indeholdt en ramme til støtte af privat udlejningsbyggeri, er der indgået aftale om nogle maksimale anskaffelsessummer, altså en maksimal pris på byggerierne. Disse anskaffelsessummer varierer rundtomkring i landet, hvor der oprindelig blev fire forskellige kategorier. Denne lov giver ministeren en bemyndigelse til at fastholde disse områder administrativt inden for fire kategorier i forhold til kommunalreform og den nye kommuneinddeling. Sluttelig indeholder loven de nødvendige tilpasninger, således at der i kommunesammenlægningen også kan tages højde for, at det kommunale skal være omfattet af boligreguleringsloven og videreførelsen af de kommunalt forankrede huslejenævn. Samlet set er indholdet af dette lovforslag nødvendigt for at smidiggøre den kommunale strukturændring, og Venstre støtter forslaget., Den fg. formand",V
2009,106,Per Clausen (EL),"Tak. Jeg er ikke helt klar over, om hr. Bent Bøgsted går ind i det her, fordi han tror på, at det er økonomisk nødvendigt, eller fordi det er EU, der tvinger ham. Det er sådan lidt uklart. Men det, jeg godt vil spørge hr. Bent Bøgsted om, er: Synes hr. Bent Bøgsted, man har ramt rigtigt, når det er de arbejdsløse, der kommer til at betale prisen, mens dem med høje lønninger, som har fået skattelettelserne, slipper betydelig billigere? Synes hr. Bent Bøgsted, at det er i overensstemmelse med, hvad han mener er socialt ansvarligt, retfærdigt osv.? Hr. Bent Bøgsted siger, at alternativet var at droppe stigningerne i overførselsindkomsterne. Sagen er vel, at Dansk Folkeparti også kunne have foreslået, at man f.eks. skulle have droppet skattelettelserne til de højtlønnede. Det var vel også en mulighed. Dansk Folkeparti havde jo fat i den lange ende her, for hvad Dansk Folkeparti ikke vil være med til, kan jo ikke blive til noget. Og tror hr. Bent Bøgsted, at der var blevet valg, hvis DF havde stået fast på, at man ikke ville tage fra de arbejdsløse, men ville tage fra dem, som reelt var med til festen? Anden næstformand",EL
2015,112,Ole Birk Olesen (LA),"Jamen som jeg også har sagt tidligere, mener jeg, det er en kortsigtet vurdering i de tal dér. Den langsigtede effekt af, at vi får mindsket tilgangen til systemet, er større end den kortsigtede effekt, hvor man alene ser på, hvem man får ud af systemet. Så jeg ser noget mere optimistisk på den langsigtede effekt af de her reformer end på den kortsigtede effekt. Første næstformand",LA
2020,64,(Bent Bøgsted),"Så siger vi tak til ordføreren. Der skal lige sprittes lidt af. Da der ikke er flere, der bedt om ordet, er forhandlingen sluttet. Afstemning om de fremsatte forslag til vedtagelse vil som nævnt blive udsat indtil videre. Det næste punkt på dagsordenen er: 23) 1. behandling af lovforslag nr. L 143: Forslag til lov om tillægsbevilling for finansåret 2020. Af finansministeren (Morten Bødskov fg.). (Fremsættelse.2021). Forhandling Den fg. formand",DD
2023,95,Mads Olsen (SF),"Tak for ordet. Og tak til DF for at fremsætte forslaget her – også her vikarierer jeg for fru Marianne Bigum. Forslaget pålægger regeringen at arbejde for et nyt dansk EUforbehold, nemlig et såkaldt velfærdsforbehold. Dette forbehold skal sikre, at danske velfærdsordninger ikke er underlagt EUregler. Det er hævet over enhver tvivl, at EUsamarbejdet er en kæmpe fordel for Danmark og danskerne. Mennesker, varer og virksomheder kan flytte sig nemt, og det betyder masser af arbejdspladser, gode rammer for vores virksomheder og nem og ubesværet handel mellem landene. Men det betyder også, at man f.eks. skal kunne rejse til et andet EUland for at arbejde, uden at man efterlader sine sociale rettigheder og sin tryghed ved grænsen. Det er grundlæggende et fornuftigt princip, som vi i SF står fuldt ud bag. Et velfærdsforbehold vil betyde, at vi i Danmark vil stille os uden for nogle af de mest grundlæggende bestemmelser i EUsamarbejdet inden for den fri bevægelighed og det indre marked, altså regler, som har været gældende, helt tilbage fra da Danmark blev medlem, og som retligt og politisk har en særlig høj status i EUsamarbejdet. Også af den grund vil et velfærdsforbehold være svært at realisere. Når det er sagt, er det klart, at fri bevægelighed også skal være fair. Derfor har det været helt centralt for SF, at den seneste europapolitiske aftale, som en bred kreds af partier indgik i december, klart siger, at den fri bevægelighed i EU ikke må foregå på vilkår, der undergraver nationale løn- og arbejdsvilkår eller svækker de nationale velfærdsmodeller. Er alt så perfekt i forhold til velfærdsydelser og den frie bevægelighed? Nej, det er det bestemt ikke. Det er utilfredsstillende, at udenlandske unge, der har optaget sulån, forlader landet igen uden at betale deres gæld. Gældsstyrelsen kan ikke inddrive gælden i udlandet, og derfor står vi med et problem. Det er vigtigt, at vi forfølger den konkrete sag i alle tænkelige fora – om det er i Norden, EU eller via bilaterale aftaler – men et generelt velfærdsforbehold, som DF foreslår, er ikke vejen at gå. Tak for ordet.",SF
2017,85,(Leif Mikkelsen),"Tak til hr. Flemming Møller Mortensen. Den næste i ordførerrækken er fru Liselott Blixt, Dansk Folkeparti. Værsgo. (Ordfører)",LA
2016,9,Peter Kofod Poulsen (DF),"Hvornår forventer ministeren, at tilstanden er normaliseret på Christiania, som i resten af landet, så politiet kan patruljere som normalt, og forventer ministeren, at Pusherstreet, som vi kender det, for evigt er nedlagt? Den fg. formand",DF
2019,35,Udlændinge Og Integrationsministeren (Mattias Tesfaye),"Jeg vil starte med at sige, at jeg synes, at man altid skal lytte meget alvorligt til Ældre Sagen. Så vil jeg også sige, at det, som Dansk Folkepartis spørger her siger, jo er sød musik i en socialdemokrats ører, nemlig at pengene skal følge med, at der bliver flere børn og ældre. I en ledig stund kunne spørgeren måske også hviske det i ørerne på spørgerens partiledelse, næste gang der skal forhandles finanslov, når der er en borgerlig finansminister. For det er jo nu med en socialdemokratisk regering, at vi faktisk har sikret, at der er økonomi til, at velfærdsstaten kan følge med, og at der kommer et ordentligt serviceløft både på børneområdet og på ældreområdet. Derfor vil jeg også fastholde, at hvis man sidder ude på et plejehjem og får en ekstra frikadelle på gaflen til næste år, fordi der faktisk er afsat bedre økonomi i kommuneaftalerne, så tror jeg, den ældre er rimelig ligeglad med, om den frikadelle er betalt af en kommuneaftale eller en finanslovsaftale. Bundlinjen er, at regeringen fører en politik, som kommer til at kunne mærkes bedre på plejehjemmene end ellers. Fjerde næstformand",S
2007,25,(Svend Auken),"Tak til ordføreren. Så er det faktisk hr. Per Ørum Jørgensen selv, der er den næste i ordførerrækken. Værsgo. (Ordfører)",S
